Name	Year	Rating	Description	Visual Appeal	Reliability	Performance	Comfort	Service Experience	Maintenance cost	Extra Features	Likes	Dislikes	Used it for	Owned for	Mileage	Ridden for
Ashi	2 years ago by	5	Royal enfield made like a gun and fired like a bullet.	5	5	5	4		5	4	"
                            2"	"
                            0"	Tours	6 months-1 yr	25 kmpl	5000-10000 kms
Bhanjan Kumar Sahoo	2 years ago by	4	Feel royal while riding				4	4		4	"
                            1"	"
                            1"	Everything	> 1 yr	38 kmpl	10000-15000 kms
Pratik	2 years ago by	5	Humsafar classic 350	5	5	5			5		"
                            0"	"
                            0"	Everything	6 months-1 yr	38 kmpl	< 5000 kms
Yogesh Kumar	2 years ago by	5	I like it	5	5	5			5		"
                            1"	"
                            0"	Occasional Commute	6 months-1 yr	40 kmpl	< 5000 kms
Ravi	2 years ago by	5	Bullet lover	5	5	5			5		"
                            2"	"
                            0"	Daily Commute	3-6 months		< 5000 kms
Tarun Sorout	2 years ago by	4	Bullet 350cc				4	4		4	"
                            2"	"
                            0"	Leisure Rides	> 1 yr	33 kmpl	< 5000 kms
Ravi Prasad	2 years ago by	5	One can control a horse but only some can control a bull	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	6 months-1 yr	32 kmpl	5000-10000 kms
Pramod Munde	2 years ago by	4	Royal enfield bullet classic 350 detailed review by the verified ...	5			4	4		4	"
                            0"	"
                            0"	Daily Commute	> 1 yr	45 kmpl	< 5000 kms
Hasan	2 years ago by	3	Need more improvement in look				4	4		4	"
                            0"	"
                            0"	Everything	3-6 months	18 kmpl	< 5000 kms
Mohammad Gufran	2 years ago by	4	In brief	5			4	4		4	"
                            1"	"
                            0"	Everything	< 3 months	35 kmpl	< 5000 kms
Karthik Uthvaganath	2 years ago by	5	Childhood wish retro design pure royal drive every time.Enjoy it	5	5	5			5		"
                            1"	"
                            0"	Daily Commute	3-6 months	55 kmpl	< 5000 kms
Saurabh Ray	2 years ago by	5	Royal enfield the beast	5	5	5			5		"
                            0"	"
                            0"	Everything	6 months-1 yr	37 kmpl	5000-10000 kms
Bhemanth	2 years ago by	5	Get the gun ...Coz you deserve it	5	5	5	4		5	4	"
                            1"	"
                            0"	Everything	> 1 yr	40 kmpl	> 15000 kms
Arjun	2 years ago by	4	Live long like a bullet				4	4		4	"
                            0"	"
                            0"	Daily Commute	6 months-1 yr	45 kmpl	10000-15000 kms
Abhijith P P	2 years ago by	5	Royal enfield standard 350	5			4	4		4	"
                            1"	"
                            0"	Daily Commute	Never owned		41 kmpl
Kanha	2 years ago by	5	Some description	5	5	5			5		"
                            2"	"
                            0"	Everything	6 months-1 yr	50 kmpl	5000-10000 kms
Rohit Sorary	2 years ago by	5	Royal on field	5	5	5	4		5	4	"
                            0"	"
                            0"	Daily Commute	< 3 months	40 kmpl	> 15000 kms
Rk	2 years ago by	5	Amazing	5	5	5	4		5	4	"
                            1"	"
                            0"	Daily Commute	> 1 yr	35 kmpl	5000-10000 kms
Sachin Arora	2 years ago by	5	Best bike	5	5		4	4		4	"
                            1"	"
                            0"	Everything	> 1 yr	40 kmpl	10000-15000 kms
Ajesh Ss	2 years ago by	5	Great comfort and awesome mileage	5	5	5			5		"
                            21"	"
                            4"	Daily Commute	> 1 yr	45 kmpl	5000-10000 kms
Ashiq	2 years ago by	5	Royal enfield the road king	5	5	5			5		"
                            2"	"
                            0"	Daily Commute	> 1 yr	37 kmpl	5000-10000 kms
Mahesh Chitroda	2 years ago by	5	Real bike for real rider	5	5	5			5		"
                            2"	"
                            2"	Daily Commute	6 months-1 yr	45 kmpl	< 5000 kms
Ryan Srivastava	2 years ago by	5	Made like a gun goes like a bullet	5	5	5	4		5	4	"
                            0"	"
                            0"	Tours	6 months-1 yr	35 kmpl	> 15000 kms
Brinu John	2 years ago by	4	Wanna go for bullet 350  do read this review				4	4		4	"
                            2"	"
                            0"	Daily Commute	> 1 yr	32 kmpl	> 15000 kms
Rohan Vadthya	2 years ago by	5	A real eye catcher in long rides	5	5		4	4		4	"
                            3"	"
                            0"	Daily Commute	> 1 yr	30 kmpl	10000-15000 kms
Rags	2 years ago by	5	Once a beast	5	5	5	4	4	5	4	"
                            1"	"
                            0"	Everything	3-6 months	45 kmpl	5000-10000 kms
Jacob	2 years ago by	1	Failure in starting new bullet								"
                            2"	"
                            0"	Daily Commute	> 1 yr	30 kmpl	< 5000 kms
Visakh V	2 years ago by	4	Don't expect above 80kmhr	5	5		4	4		4	"
                            16"	"
                            4"	Daily Commute	> 1 yr	40 kmpl	< 5000 kms
Arjun Hari K	2 years ago by	4	Royal as its name royal enfield	5	5	5	4	4	5	4	"
                            4"	"
                            0"	Daily Commute	6 months-1 yr	57 kmpl	5000-10000 kms
Priyank	2 years ago by	5	Royal star	5	5	5	4		5	4	"
                            1"	"
                            0"	Everything	> 1 yr	20 kmpl	> 15000 kms
Anup	2 years ago by	5	The king’s ride	5	5	5	4	4	5	4	"
                            3"	"
                            0"	Everything	> 1 yr	35 kmpl	> 15000 kms
Jagadish Mahata	2 years ago by	5	Made for men	5	5	5	4	4	5	4	"
                            4"	"
                            0"	Everything	> 1 yr	41 kmpl	> 15000 kms
Amit Banerjee	2 years ago by	5	Just go for it for all kind of riding .	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Everything	3-6 months	40 kmpl	< 5000 kms
Sujath Ali	2 years ago by	5	Review	5	5	5	4	4	5	4	"
                            2"	"
                            0"	Daily Commute	> 1 yr	40 kmpl	< 5000 kms
Amit	2 years ago by	5	Feel the field with enfield	5	5	5	4		5	4	"
                            0"	"
                            0"	Everything	> 1 yr	42 kmpl	> 15000 kms
Arvind Singh Bora	2 years ago by	5	Maintenance	5	5	5	4		5	4	"
                            2"	"
                            0"	Daily Commute	6 months-1 yr	34 kmpl	10000-15000 kms
Rajinder	2 years ago by	5	Best bike in 350cc segment in india	5	5	5			5		"
                            1"	"
                            0"	Tours	Never owned		31 kmpl
Shivraj	2 years ago by	5	Leisure	5	5		4	4		4	"
                            0"	"
                            0"	Leisure Rides	Never owned		
Vishal Gahlot	2 years ago by	5	Review	5	5	5	4		5	4	"
                            0"	"
                            0"	Daily Commute	> 1 yr	35 kmpl	> 15000 kms
Ashok	2 years ago by	4	Royal enfield	5			4	4		4	"
                            1"	"
                            1"	Everything	6 months-1 yr	35 kmpl	10000-15000 kms
Vaikunth Mehra	2 years ago by	5	Great bike for young riders	5	5	5			5		"
                            0"	"
                            0"	Leisure Rides	6 months-1 yr	35 kmpl	5000-10000 kms
Varas Chile	2 years ago by	5	I am a enfielder	5	5	5	4		5	4	"
                            1"	"
                            0"	Daily Commute	> 1 yr		> 15000 kms
Abhinav Sharma	2 years ago by	5	My experience on bullet	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Daily Commute	6 months-1 yr	40 kmpl	5000-10000 kms
Pargat Singh	2 years ago by	5	Bullet buyer special te awesome	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	50 kmpl	> 15000 kms
Shivansh Mishra	2 years ago by	5	Dug dug dug dug	5			4	4		4	"
                            2"	"
                            0"	Everything	6 months-1 yr		5000-10000 kms
Sai Charan	2 years ago by	5	Review	5	5	5			5		"
                            1"	"
                            0"	Daily Commute	3-6 months	35 kmpl	5000-10000 kms
Patel Deep Sanjayku...	2 years ago by	5	Best	5	5	5	4		5	4	"
                            1"	"
                            0"	Everything	< 3 months		> 15000 kms
Darpan Kapoor	2 years ago by	5	Classic 350 - the best	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	28 kmpl	> 15000 kms
Gaurav	2 years ago by	5	Beyond words	5	5	5			5		"
                            1"	"
                            1"	Daily Commute	< 3 months	45 kmpl	> 15000 kms
Sudip Ghosh	2 years ago by	4	Beautiful	5			4	4		4	"
                            2"	"
                            0"	Daily Commute	6 months-1 yr	32 kmpl	5000-10000 kms
Pawan Kumar Pandey	2 years ago by	5	Great purchase ever	5	5	5			5		"
                            1"	"
                            0"	Daily Commute	> 1 yr	35 kmpl	5000-10000 kms
Mohammad Shamshuddin	3 years ago by	5	My bike mileage 59kmpl	5	5	5			5		"
                            28"	"
                            48"	Everything	> 1 yr	59 kmpl	> 15000 kms
Maazu Khan	3 years ago by	5	My experience with my Classic 350	5	5	5	4		5	4	"
                            2"	"
                            0"	Daily Commute	> 1 yr	35 kmpl	> 15000 kms
Rishabh Pratap Kaus...	3 years ago by	5	Details about bike mileage and performance				4	4		4	"
                            11"	"
                            10"	Everything	6 months-1 yr	35 kmpl	< 5000 kms
Abhishek Dan	3 years ago by	4	Bullet classic enfield 350 in comfort zone	5			4			4	"
                            1"	"
                            0"	Everything	6 months-1 yr	37 kmpl	< 5000 kms
Sivanesh	3 years ago by	5	My happiness	5	5	5			5		"
                            1"	"
                            0"	Everything	> 1 yr	37 kmpl	10000-15000 kms
Bhisham Pal	3 years ago by	5	Best bike in off road and on road	5	5	5	4	4	5	4	"
                            1"	"
                            0"	Tours	6 months-1 yr	30 kmpl	> 15000 kms
Piyush Kumar	3 years ago by	4	Worth it				4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr	30 kmpl	> 15000 kms
Love Tomar	3 years ago by	4	Dude choice to dad choice	5	5		4	4		4	"
                            0"	"
                            0"	Daily Commute	> 1 yr	48 kmpl	< 5000 kms
Niraj Kumar	3 years ago by	5	Its a amazing bike	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Occasional Commute	6 months-1 yr	35 kmpl	5000-10000 kms
Avraneel Praharaj	3 years ago by	5	Beast turns into bae	5	5	5	4	4	5	4	"
                            1"	"
                            0"	Leisure Rides	Never owned		
Aryan	3 years ago by	5	Journey of royal enfield	5			4	4		4	"
                            0"	"
                            1"	Daily Commute	> 1 yr		< 5000 kms
Sandipan Show	3 years ago by	5	Road runner	5	5	5			5		"
                            3"	"
                            0"	Daily Commute	6 months-1 yr	33 kmpl	< 5000 kms
Karthik Bharadwaj	3 years ago by	5	Review	5	5	5			5		"
                            1"	"
                            0"	Everything	Never owned		25 kmpl
Shouryadhar	3 years ago by	5	Legends Don't die..!!	5	5	5	4		5	4	"
                            0"	"
                            0"	Daily Commute	> 1 yr	40 kmpl	10000-15000 kms
Miraj Rahane	3 years ago by	3	350 does t offer what does it has to.....	5			4			4	"
                            0"	"
                            0"	Occasional Commute	3-6 months	28 kmpl	5000-10000 kms
Suraj Raghwanshi Pr...	3 years ago by	3	Before buying a royal enfield meet this true				4	4		4	"
                            9"	"
                            10"	Occasional Commute	> 1 yr	29 kmpl	5000-10000 kms
Vimal Singh	3 years ago by	5	Royal enfield	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Everything	3-6 months	47 kmpl	5000-10000 kms
Bhagawath K U	3 years ago by	4	Retro but t modern				4	4		4	"
                            2"	"
                            0"	Everything	> 1 yr	36 kmpl	5000-10000 kms
Aditya	3 years ago by	5	Amazing	5	5	5			5		"
                            2"	"
                            0"	Daily Commute	> 1 yr	40 kmpl	10000-15000 kms
Chetan Bagra	3 years ago by	5	Made like a gun	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	30 kmpl	5000-10000 kms
Darvesh Kumar Jha	3 years ago by	1	Very very poor service								"
                            78"	"
                            13"	Daily Commute	< 3 months		< 5000 kms
Mahesh Ansurkar	3 years ago by	5	Best touring bike	5	5	5	4		5	4	"
                            1"	"
                            0"	Tours	> 1 yr	65 kmpl	10000-15000 kms
Vivek	3 years ago by	5	Bullet love	5	5	5			5		"
                            0"	"
                            0"	Everything	6 months-1 yr	35 kmpl	10000-15000 kms
Ronak	3 years ago by	5	Dream bike	5	5	5	4		5	4	"
                            0"	"
                            0"	Everything	> 1 yr		> 15000 kms
Naveen Rathee	3 years ago by	5	Ride like bullet be like king	5	5	5			5		"
                            4"	"
                            0"	Daily Commute	> 1 yr	30 kmpl	10000-15000 kms
Soumya Sahoo	3 years ago by	4	My 1st love	5			4	4		4	"
                            0"	"
                            1"	Tours	6 months-1 yr		5000-10000 kms
Sangeeta Chaubey	3 years ago by	5	Their price are very unique and affordable	5	5	5			5		"
                            1"	"
                            1"	Daily Commute	> 1 yr	150 kmpl	> 15000 kms
Shafeer	3 years ago by	5	Soulmate	5	5	5	4		5	4	"
                            0"	"
                            1"	Tours	Never owned		
Shivang Rathore	3 years ago by	5	Awesome bike trusted bike	5	5	5			5		"
                            1"	"
                            0"	Everything	> 1 yr	40 kmpl	10000-15000 kms
wanth	3 years ago by	5	Awesome!!!!	5	5		4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr	41 kmpl	> 15000 kms
Ebadkauser	3 years ago by	4	Lustrous thumper	5			4	4		4	"
                            2"	"
                            0"	Daily Commute	6 months-1 yr	35 kmpl	5000-10000 kms
Avi Jain	3 years ago by	4	Royal enfield classic 350	5	5		4	4		4	"
                            0"	"
                            0"	Daily Commute	> 1 yr	32 kmpl	> 15000 kms
Vikas Satheesan	3 years ago by	5	Good	5	5	5			5		"
                            1"	"
                            0"	Everything	Never owned		37 kmpl
Himanshu Kumar Bora	3 years ago by	5	I love royal enfield	5	5	5			5		"
                            2"	"
                            1"	Everything	< 3 months	35 kmpl	< 5000 kms
Imran Pasha	3 years ago by	4	Royal enfield 350 classic bs3	5	5		4	4		4	"
                            5"	"
                            0"	Everything	6 months-1 yr	40 kmpl	10000-15000 kms
Munna Kumar	3 years ago by	5	I love my bullet	5	5	5			5		"
                            1"	"
                            0"	Daily Commute	> 1 yr		10000-15000 kms
Akarsh	3 years ago by	5	Love classic	5	5	5	4		5	4	"
                            2"	"
                            0"	Everything	> 1 yr	30 kmpl	10000-15000 kms
Vibhor Mishra	3 years ago by	5	Excellent	5	5	5			5		"
                            1"	"
                            1"	Everything	> 1 yr	35 kmpl	10000-15000 kms
Ravinder Kumar	3 years ago by	5	King of all bikes royal enfield	5	5	5			5		"
                            1"	"
                            0"	Occasional Commute	< 3 months	37 kmpl	5000-10000 kms
Rohit Kumar	3 years ago by	5	Best bike in world royal enfield	5	5	5			5		"
                            0"	"
                            0"	Everything	> 1 yr	35 kmpl	> 15000 kms
Edvin Soy	3 years ago by	4	Explore the limit with this bike...	5	5	5	4	4	5	4	"
                            3"	"
                            0"	Tours	Never owned		45 kmpl
Lovepreet Singh	3 years ago by	5	Amazing	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Daily Commute	> 1 yr	35 kmpl	< 5000 kms
Satwinder Kumar	3 years ago by	5	 1 bike in India	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	45 kmpl	> 15000 kms
Deepak Kumar	3 years ago by	4	Superb bike	5	5		4	4		4	"
                            0"	"
                            0"	Everything	< 3 months	40 kmpl	< 5000 kms
Rohan Rawat	3 years ago by	4	Sw fall				4			4	"
                            2"	"
                            2"	Everything	6 months-1 yr	45 kmpl	> 15000 kms
Nayan Bora	3 years ago by	5	Bullet raja	5	5	5	4	4	5	4	"
                            3"	"
                            0"	Daily Commute	6 months-1 yr	35 kmpl	5000-10000 kms
Kartik	3 years ago by	5	About all things	5	5	5			5		"
                            0"	"
                            0"	Everything	> 1 yr	75 kmpl	10000-15000 kms
Gurjinder Singh	3 years ago by	4	All about enfield				4	4		4	"
                            0"	"
                            0"	Daily Commute	3-6 months	45 kmpl	10000-15000 kms
Pramod Kudale	3 years ago by	4	My royal enfield	5			4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr	40 kmpl	5000-10000 kms
Selvakumar	3 years ago by	5	Nice one				4	4		4	"
                            1"	"
                            0"	Tours	6 months-1 yr	35 kmpl	5000-10000 kms
Sohel	3 years ago by	4	Royal looks..								"
                            3"	"
                            0"	Occasional Commute	> 1 yr	35 kmpl	5000-10000 kms
Sumit Madne	3 years ago by	5	The name tells everything	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Daily Commute	> 1 yr	25 kmpl	10000-15000 kms
Praveen	3 years ago by	5	My bike details	5	5	5	4	4	5	4	"
                            3"	"
                            0"	Everything	6 months-1 yr	35 kmpl	5000-10000 kms
Vishal	3 years ago by	3	Bullet for retro lovers	5							"
                            2"	"
                            2"	Daily Commute	> 1 yr	35 kmpl	> 15000 kms
Mubas	3 years ago by	5	Re the man	5	5	5			5		"
                            0"	"
                            0"	Leisure Rides	6 months-1 yr	130 kmpl	< 5000 kms
Lohith	3 years ago by	5	Get ready to ride				4	4		4	"
                            2"	"
                            0"	Everything	6 months-1 yr		> 15000 kms
Akash Sharma	3 years ago by	5	Bullet ‘the gentleman’s choice’.	5			4	4		4	"
                            0"	"
                            1"	Everything	> 1 yr	30 kmpl	< 5000 kms
Sushil Yadav	3 years ago by	5	Royal people always want royal choice	5	5	5			5		"
                            0"	"
                            0"	Everything	> 1 yr	40 kmpl	> 15000 kms
Punit Gunawat	3 years ago by	5	The royal beast	5	5	5	4	4	5	4	"
                            0"	"
                            1"	Tours	> 1 yr	27 kmpl	> 15000 kms
Nevin Xavier	3 years ago by	4	Royal enfield - worth for cash or just trash	5	5	5	4		5	4	"
                            0"	"
                            0"	Everything	> 1 yr	25 kmpl	10000-15000 kms
Kamlesh	3 years ago by	4	Family member	5	5		4	4		4	"
                            0"	"
                            1"	Everything	> 1 yr	30 kmpl	> 15000 kms
Mashetty Omkar	3 years ago by	5	Royal enfield	5	5	5			5		"
                            0"	"
                            0"	Everything	> 1 yr	40 kmpl	10000-15000 kms
Vivek	3 years ago by	4	Once a lifetime riders bike				4	4		4	"
                            2"	"
                            1"	Daily Commute	6 months-1 yr	40 kmpl	< 5000 kms
Akash Raj	3 years ago by	5	Love you classic 350	5			4			4	"
                            1"	"
                            1"	Leisure Rides	< 3 months	14 kmpl	< 5000 kms
Jaise Jose	3 years ago by	4	Bullet re 350	5	5	5	4		5	4	"
                            2"	"
                            2"	Everything	< 3 months	45 kmpl	> 15000 kms
Akhil	3 years ago by	4	Power drive	5	5	5			5		"
                            1"	"
                            0"	Daily Commute	6 months-1 yr	40 kmpl	5000-10000 kms
Premji	3 years ago by	5	World best bike	5	5	5			5		"
                            0"	"
                            0"	Everything	> 1 yr	19 kmpl	< 5000 kms
Farasat Hussain	3 years ago by	5	Awesome	5	5	5			5		"
                            0"	"
                            0"	Tours	Never owned		15 kmpl
Rathodramesh	3 years ago by	5	Love royal enfield	5	5	5			5		"
                            0"	"
                            0"	Everything	6 months-1 yr	36 kmpl	5000-10000 kms
Aditya Bhardwaj	3 years ago by	5	Must read!	5	5		4	4		4	"
                            0"	"
                            0"	Tours	6 months-1 yr	35 kmpl	5000-10000 kms
Aasish Thapa	3 years ago by	5	It value its rider	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	Never owned		45 kmpl
Prashanth	3 years ago by	5	Bullet	5	5		4	4		4	"
                            2"	"
                            0"	Tours	< 3 months	35 kmpl	< 5000 kms
Sk Taslim Mohammed	3 years ago by	4	Best bike ever				4	4		4	"
                            0"	"
                            0"	Daily Commute	> 1 yr	25 kmpl	5000-10000 kms
Saurabh Sukhija	3 years ago by	5	Dream bike	5	5	5			5		"
                            0"	"
                            0"	Tours	> 1 yr	40 kmpl	> 15000 kms
Dhanraj Chikorde	3 years ago by	4	Perfect dug dug experience	5	5	5	4	4	5	4	"
                            1"	"
                            1"	Everything	3-6 months	35 kmpl	5000-10000 kms
Ajay Uppala	3 years ago by	4	Bullet electra or classic or thunderbird	5	5		4	4		4	"
                            3"	"
                            0"	Daily Commute	> 1 yr	28 kmpl	10000-15000 kms
Md Asif Ali	3 years ago by	5	Review	5	5	5	4		5	4	"
                            1"	"
                            0"	Leisure Rides	6 months-1 yr	30 kmpl	5000-10000 kms
Omer Garvath	3 years ago by	1	Make use of dream	5			4			4	"
                            7"	"
                            3"	Everything	> 1 yr	35 kmpl	10000-15000 kms
Dwarkadhish	3 years ago by	5	The most enjoyable bike	5	5	5	4	4	5	4	"
                            1"	"
                            0"	Occasional Commute	6 months-1 yr	38 kmpl	< 5000 kms
Pankaj Das	3 years ago by	5	Review	5	5	5			5		"
                            2"	"
                            2"	Everything	< 3 months	38 kmpl	< 5000 kms
Aakash	3 years ago by	5	Awesome creation	5	5	5			5		"
                            0"	"
                            1"	Daily Commute	6 months-1 yr	20 kmpl	< 5000 kms
Eshwar Adithya	3 years ago by	4	Damn awesome bike for youth								"
                            0"	"
                            0"	Leisure Rides	> 1 yr	35 kmpl	10000-15000 kms
Dokkesh	3 years ago by	5	Love with royal enfield	5	5	5	4		5	4	"
                            0"	"
                            1"	Everything	> 1 yr	45 kmpl	5000-10000 kms
Nikhil Thakur	3 years ago by	5	Amazing experience	5	5		4	4		4	"
                            0"	"
                            0"	Daily Commute	6 months-1 yr	34 kmpl	< 5000 kms
Gabriel Av	3 years ago by	4	Pretty big ride	5			4	4		4	"
                            1"	"
                            0"	Daily Commute	> 1 yr	35 kmpl	> 15000 kms
Asad Khan	3 years ago by	4	attention grabbing on road	5	5		4	4		4	"
                            0"	"
                            0"	Daily Commute	6 months-1 yr	40 kmpl	10000-15000 kms
Bhavya Choudhary	3 years ago by	5	Experience	5	5	5	4		5	4	"
                            1"	"
                            0"	Everything	3-6 months	35 kmpl	< 5000 kms
Rakesh Mohapatra	3 years ago by	5	First time riding bullet 350 its v.Good experience								"
                            0"	"
                            0"	Daily Commute	Never owned		35 kmpl
Akhil	3 years ago by	4	Love it	5			4	4		4	"
                            2"	"
                            0"	Everything	6 months-1 yr	40 kmpl	5000-10000 kms
Hidayatullah	3 years ago by	5	Amazing bike	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	30 kmpl	> 15000 kms
Maninder Singh	3 years ago by	5	Royal by name and royal by ride	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	35 kmpl	> 15000 kms
Sanjay Jangid	3 years ago by	4	Great machine with third class sales and service backup	5	5		4			4	"
                            3"	"
                            0"	Daily Commute	< 3 months	42 kmpl	< 5000 kms
Yash Chhabriya	3 years ago by	5	Royal enfield	5	5		4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr	25 kmpl	10000-15000 kms
Muhammed Safwan Kan...	3 years ago by	5	The god of a rider	5	5	5			5		"
                            0"	"
                            0"	Leisure Rides	Never owned		39 kmpl
Tushar Tingote	3 years ago by	5	Bullet the royal choice	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	40 kmpl	10000-15000 kms
Rohit mula	3 years ago by	5	Royal enfield made like a gun goes like a bullet	5	5	5			5		"
                            0"	"
                            0"	Everything	> 1 yr	35 kmpl	> 15000 kms
Imad	3 years ago by	5	Wow! great bike best choice	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr		< 5000 kms
Prashant	3 years ago by	5	Electra twinspark 2017 Jan model	5	5	5	4		5	4	"
                            2"	"
                            0"	Daily Commute	> 1 yr	40 kmpl	5000-10000 kms
Sayanu Chatterjee	3 years ago by	4	99% perfect	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Everything	> 1 yr	24 kmpl	> 15000 kms
Sabarish	3 years ago by	4	Riding  experience	5	5		4	4		4	"
                            10"	"
                            3"	Everything	Never owned		56 kmpl
Ashish Thakur	3 years ago by	5	Only king of Indian roads	5	5	5	4		5	4	"
                            0"	"
                            0"	Daily Commute	> 1 yr	32 kmpl	5000-10000 kms
Anil Saini	3 years ago by	5	Its t made like a gun the gun is made like bullet	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	6 months-1 yr	45 kmpl	< 5000 kms
Yakhubsdr	3 years ago by	4	Royal enfield	5	5	5			5		"
                            5"	"
                            0"	Daily Commute	> 1 yr	35 kmpl	10000-15000 kms
Raj Kumar Pandit	3 years ago by	5	King always remains king....	5	5	5			5		"
                            1"	"
                            0"	Everything	> 1 yr	140 kmpl	> 15000 kms
Ajay	3 years ago by	5	Review								"
                            1"	"
                            0"	Everything	6 months-1 yr		< 5000 kms
Bhanu	3 years ago by	5	Electra lover	5	5		4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr	35 kmpl	10000-15000 kms
Rajesh Yewle	3 years ago by	5	Review	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	Never owned		
Gurpreet Singh	3 years ago by	3	Royalty vs quality	5	5	5			5		"
                            9"	"
                            8"	Everything	> 1 yr	35 kmpl	> 15000 kms
Arun Murali	3 years ago by	5	My royal......350	5	5	5			5		"
                            3"	"
                            0"	Leisure Rides	3-6 months	38 kmpl	< 5000 kms
Ravi	3 years ago by	5	Its awesome	5	5	5	4		5	4	"
                            3"	"
                            0"	Tours	3-6 months	40 kmpl	< 5000 kms
Anuruddh	3 years ago by	3	Dream	5							"
                            3"	"
                            1"	Daily Commute	> 1 yr	35 kmpl	5000-10000 kms
Rayudu	3 years ago by	5	Review	5	5		4			4	"
                            0"	"
                            0"	Everything	> 1 yr	48 kmpl	> 15000 kms
Ritesh	3 years ago by	5	Awesome..	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	36 kmpl	5000-10000 kms
Vivek	3 years ago by	3	Under powered beast t suitable for long rides				4			4	"
                            2"	"
                            0"	Daily Commute	> 1 yr	40 kmpl	> 15000 kms
Mohammad Mobin Ahmed	3 years ago by	5	Review	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Daily Commute	6 months-1 yr	35 kmpl	5000-10000 kms
Kanishk Shrivastava	3 years ago by	4	A fair review for royal enfield buyers and users..	5	5	5	4		5	4	"
                            0"	"
                            0"	Everything	> 1 yr	38 kmpl	10000-15000 kms
Asif Bapu Sanadi	3 years ago by	5	The kings tiger	5	5	5			5		"
                            0"	"
                            0"	Everything	> 1 yr	35 kmpl	5000-10000 kms
Harsh Singh	3 years ago by	5	Sexiest bike ever								"
                            0"	"
                            0"	Everything	> 1 yr	23 kmpl	5000-10000 kms
Muhammed Ashique T K	3 years ago by	5	Dream								"
                            1"	"
                            0"	Leisure Rides	Never owned		45 kmpl
Sandeep Kumar	3 years ago by	5	my childhood dream come true	5	5	5			5		"
                            2"	"
                            0"	Everything	< 3 months	41 kmpl	< 5000 kms
Sarbjit Singh	3 years ago by	3	Bullet improvement need to be change	5	5		4	4		4	"
                            0"	"
                            0"	Everything	6 months-1 yr	35 kmpl	5000-10000 kms
Seshu Chowdary	3 years ago by	5	Royal lion	5	5	5			5		"
                            2"	"
                            0"	Daily Commute	6 months-1 yr		> 15000 kms
Harshit Trivedi	3 years ago by	5	Bullet 350 classic	5			4	4		4	"
                            0"	"
                            0"	Everything	6 months-1 yr	101 kmpl	< 5000 kms
Vid	3 years ago by	5	Amazing	5	5	5			5		"
                            1"	"
                            0"	Everything	Never owned		32 kmpl
Rajbir	3 years ago by	5	Awesome bike	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	58 kmpl	> 15000 kms
Salman Khan	3 years ago by	5	Bullet raja	5	5	5			5		"
                            1"	"
                            0"	Everything	6 months-1 yr	35 kmpl	5000-10000 kms
Spitfire	3 years ago by	4	Iron horse	5	5		4	4		4	"
                            1"	"
                            0"	Everything	6 months-1 yr		< 5000 kms
Bhuvan	3 years ago by	4	Royal lover				4	4		4	"
                            0"	"
                            0"	Everything	6 months-1 yr	35 kmpl	5000-10000 kms
Kirthan	3 years ago by	5	Nice	5	5	5			5		"
                            1"	"
                            0"	Tours	> 1 yr	35 kmpl	> 15000 kms
Karthik	3 years ago by	5	Royal enfields specification	5	5	5			5		"
                            1"	"
                            0"	Everything	> 1 yr	40 kmpl	> 15000 kms
Nidhin	3 years ago by	5	My dream	5	5	5			5		"
                            0"	"
                            0"	Everything	Never owned		
Richa	3 years ago by	1	Worst royal enfield								"
                            40"	"
                            55"	Daily Commute	> 1 yr	30 kmpl	5000-10000 kms
Vysakh N Sekhar	3 years ago by	5	A perfect choice	5			4	4		4	"
                            2"	"
                            0"	Everything	< 3 months	45 kmpl	< 5000 kms
